Company Name,Industry,Symbol,Series
Procter & Gamble Health Ltd,Pharmaceuticals,PGHL,EQ
Pearl Global Industries Ltd,Readymade Garments/ Apparells,PGIL,EQ
Phoenix Mills Ltd,Realty,PHOENIXLTD,EQ
Pidilite Industries Ltd,Chemicals,PIDILITIND,EQ
Power & Instrumentation (Gujarat) Ltd,Capital Goods - Electrical Equipment,PIGL,EQ
P I Industries Ltd,Agro Chemicals,PIIND,EQ
Pine Labs Ltd,E-Commerce/App based Aggregator,PINELABS,EQ
Pitti Engineering Ltd,Capital Goods-Non Electrical Equipment,PITTIENG,EQ
Pix Transmission Ltd,Plantation & Plantation Products,PIXTRANS,EQ
The Peria Karamalai Tea & Produce Company Ltd,Plantation & Plantation Products,PKTEA,EQ
Plastiblends India Ltd,Chemicals,PLASTIBLEN,EQ
Platinum Industries Ltd,Chemicals,PLATIND,EQ
Plaza Wires Ltd,Cables,PLAZACABLE,EQ
PNC Infratech Ltd,Infrastructure Developers & Operators,PNCINFRA,EQ
P N Gadgil Jewellers Ltd,"Diamond, Gems and Jewellery",PNGJL,EQ
PNGS Reva Diamond Jewellery Ltd,"Diamond, Gems and Jewellery",PNGSREVA,EQ
Pondy Oxides & Chemicals Ltd,Non Ferrous Metals,POCL,EQ
Poddar Pigments Ltd,Chemicals,PODDARMENT,EQ
Pokarna Ltd,Consumer Durables,POKARNA,EQ
PB Fintech Ltd,E-Commerce/App based Aggregator,POLICYBZR,EQ
Polycab India Ltd,Cables,POLYCAB,EQ
Poly Medicure Ltd,Healthcare,POLYMED,EQ
Polyplex Corporation Ltd,Packaging,POLYPLEX,EQ
Ponni Sugars (Erode) Ltd,Sugar,PONNIERODE,EQ
Power Grid Corporation of India Ltd,Power Generation & Distribution,POWERGRID,EQ
Powerica Ltd,Capital Goods - Electrical Equipment,POWERICA,EQ
Hitachi Energy India Ltd,Capital Goods - Electrical Equipment,POWERINDIA,EQ
Power Mech Projects Ltd,Infrastructure Developers & Operators,POWERMECH,EQ
PPAP Automotive Ltd,Auto Ancillaries,PPAP,EQ
Prakash Pipes Ltd,Plastic products,PPL,EQ
Piramal Pharma Ltd,Pharmaceuticals,PPLPHARMA,EQ
Prabha Energy Ltd,Crude Oil & Natural Gas,PRABHA,EQ
Praj Industries Ltd,Capital Goods-Non Electrical Equipment,PRAJIND,EQ
Prakash Industries Ltd,Steel,PRAKASH,EQ
Praxis Home Retail Ltd,Retail,PRAXIS,EQ
Precision Camshafts Ltd,Auto Ancillaries,PRECAM,EQ
Precot Ltd,Textiles,PRECOT,EQ
Precision Wires India Ltd,Non Ferrous Metals,PRECWIRE,EQ
Premco Global Ltd,Textiles,PREMCO,EQ
Premier Explosives Ltd,Aerospace & Defence,PREMEXPLN,EQ
Premier Energies Ltd,Trading,PREMIERENE,EQ
Premier Polyfilm Ltd,Plastic products,PREMIERPOL,EQ
Prestige Estates Projects Ltd,Realty,PRESTIGE,EQ
Pricol Ltd,Auto Ancillaries,PRICOLLTD,EQ
Prince Pipes & Fittings Ltd,Plastic products,PRINCEPIPE,EQ
Priti International Ltd,Consumer Durables,PRITI,EQ
Pritika Auto Industries Ltd,Auto Ancillaries,PRITIKAUTO,EQ
Privi Speciality Chemicals Ltd,Chemicals,PRIVISCL,EQ
Prostarm Info Systems Ltd,Capital Goods - Electrical Equipment,PROSTARM,EQ
Protean eGov Technologies Ltd,IT - Software,PROTEAN,EQ
Prozone Realty Ltd,Miscellaneous,PROZONER,EQ
Prism Johnson Ltd,Cement,PRSMJOHNSN,EQ
PSP Projects Ltd,Construction,PSPPROJECT,EQ
PTC India Ltd,Power Generation & Distribution,PTC,EQ
PTC Industries Ltd,"Castings, Forgings & Fastners",PTCIL,EQ
PTL Enterprises Ltd,Miscellaneous,PTL,EQ
Punjab Chemicals & Crop Protection Ltd,Agro Chemicals,PUNJABCHEM,EQ
Puravankara Ltd,Realty,PURVA,EQ
PVP Ventures Ltd,Realty,PVP,EQ
Popular Vehicles & Services Ltd,Retail,PVSL,EQ
Physicswallah Ltd,Education,PWL,EQ
Pyramid Technoplast Ltd,Packaging,PYRAMID,EQ
QMS Medical Allied Services Ltd,Healthcare,QMSMEDI,EQ
Quality Power Electrical Equipments Ltd,Capital Goods - Electrical Equipment,QPOWER,EQ
Quadrant Future Tek Ltd,Cables,QUADFUTURE,EQ
Quess Corp Ltd,Diversified,QUESS,EQ
