Date,Symbols,Above_MA_30W,Symbols_MA_10W,Above_MA_10W,Pct_Above_MA_30W,Pct_Above_MA_10W,Benchmark_Close,Benchmark_Ticker
2026-05-22,1502,708,1504,1070,47.13715046604528,71.1436170212766,22651.30078125,^CRSLDX
2026-05-25,1502,762,1504,1123,50.7323568575233,74.66755319148936,22929.44921875,^CRSLDX
2026-05-26,1502,779,1504,1113,51.86418109187749,74.00265957446808,22897.19921875,^CRSLDX
2026-05-27,1502,800,1504,1115,53.26231691078562,74.13563829787235,22967.400390625,^CRSLDX
2026-05-28,1500,801,1502,1107,53.400000000000006,73.7017310252996,,^CRSLDX
2026-05-29,1502,767,1504,1020,51.06524633821571,67.81914893617021,22657.0,^CRSLDX
2026-06-01,1502,735,1504,891,48.934753661784285,59.24202127659575,22437.94921875,^CRSLDX
2026-06-02,1502,747,1504,913,49.73368841544607,60.704787234042556,22521.099609375,^CRSLDX
2026-06-03,1502,746,1504,866,49.66711051930759,57.579787234042556,22451.849609375,^CRSLDX
2026-06-04,1502,760,1504,870,50.59920106524633,57.84574468085106,22497.69921875,^CRSLDX
2026-06-05,1502,760,1504,846,50.59920106524633,56.25,22465.349609375,^CRSLDX
2026-06-08,1502,699,1504,681,46.53794940079894,45.27925531914894,22173.69921875,^CRSLDX
2026-06-09,1502,742,1504,789,49.40079893475366,52.46010638297872,22370.150390625,^CRSLDX
2026-06-10,1504,694,1504,682,46.1436170212766,45.34574468085106,22233.849609375,^CRSLDX
2026-06-11,1504,666,1504,578,44.28191489361702,38.430851063829785,22114.44921875,^CRSLDX
2026-06-12,1504,761,1504,750,50.59840425531915,49.86702127659575,22599.80078125,^CRSLDX
2026-06-15,1504,832,1504,855,55.319148936170215,56.84840425531915,22891.30078125,^CRSLDX
2026-06-16,1504,852,1504,895,56.64893617021277,59.50797872340425,22997.25,^CRSLDX
2026-06-17,1504,877,1504,906,58.31117021276596,60.23936170212766,23109.69921875,^CRSLDX
2026-06-18,1504,902,1504,945,59.97340425531915,62.83244680851063,23206.44921875,^CRSLDX
2026-06-19,1504,904,1504,937,60.1063829787234,62.30053191489362,23144.19921875,^CRSLDX
